b'calyzeus',2022-02-27 05:59:23+00:00,b'RT @pianolessonsM: #\xe8\x8a\xb1 #flower #flowers #gardening #nature #photo https://t.co/LsDjsVYeql'
b'vlady_elena',2022-02-27 05:59:03+00:00,b'RT @Kristal38922455: #flowerpower #gardening #nature #flower #photographylovers \xf0\x9f\x92\x9e\xf0\x9f\x92\x9e\xf0\x9f\x92\x9e https://t.co/oYvfkEftIj'
b'rabishchandra',2022-02-27 05:58:13+00:00,b'RT @IndianBotanists: How many of you enjoying this in your backyard.\n\n#Mango #Flower #Season https://t.co/KPlhvLDF4t'
b'vipuletw',2022-02-27 05:58:11+00:00,"b""RT @CandaceSotela: Poppin' poppy. \xf0\x9f\xa7\xa1 #flower #garden #flowerhunting https://t.co/fW86bVQj3K"""
b'Drvshsjeep',2022-02-27 05:56:16+00:00,b'RT @pianolessonsM: #\xe8\x8a\xb1 #flower #flowers #gardening #nature #photo https://t.co/LsDjsVYeql'
b'SaShah9',2022-02-27 05:55:38+00:00,b'RT @pianolessonsM: #\xe8\x8a\xb1 #flower #flowers #gardening #nature #photo https://t.co/LsDjsVYeql'
b'AAiMESyD7gTQjav',2022-02-27 05:55:36+00:00,b'RT @FortuneLook: \xe3\x83\x8f\xe3\x83\x8a\xe3\x82\xab\xe3\x83\xb3\xe3\x82\xb6\xe3\x82\xb7\xf0\x9f\x8c\xbc\xe3\x83\x91\xe3\x83\x83\xe3\x81\xa8\xe6\x98\x8e\xe3\x82\x8b\xe3\x81\x8f\xf0\x9f\x8c\x9f\xe5\x85\x83\xe6\xb0\x97\xe3\x81\xaa\xe8\x8a\xb1\xe2\x9c\xa8\xe8\x8a\xb1\xe8\xa8\x80\xe8\x91\x89\xe3\x81\xaf\xe6\x98\x8e\xe3\x82\x8b\xe3\x81\x84\xe6\x80\xa7\xe6\xa0\xbc\xf0\x9f\x98\x86\xe8\xa6\x8b\xe3\x81\xa6\xe7\xb4\x8d\xe5\xbe\x97\xe3\x81\xa7\xe3\x81\x99\xe2\x98\xba\xef\xb8\x8f\n #\xe8\x8a\xb1\xe3\x81\x8c\xe5\xa5\xbd\xe3\x81\x8d\xe3\x81\xaa\xe4\xba\xba\xe3\x81\xa8\xe7\xb9\x8b\xe3\x81\x8c\xe3\x82\x8a\xe3\x81\x9f\xe3\x81\x84 #\xe8\x8a\xb1\xe5\xa5\xbd\xe3\x81\x8d\xe3\x81\xaa\xe4\xba\xba\xe3\x81\xa8\xe7\xb9\x8b\xe3\x81\x8c\xe3\x82\x8a\xe3\x81\x9f\xe3\x81\x84  #\xe3\x81\xaf\xe3\x81\xaa\xe3\x81\xbe\xe3\x81\xa3\xe3\x81\xb7 #flowers #flower https://t.co/OFBnPdlEI5'
b'KcluckyK',2022-02-27 05:53:26+00:00,b'RT @Rachael67947693: Cambridge spring flowers \xf0\x9f\x98\x83 so pretty #flower #garden #nature https://t.co/85LtRcyWfi'
b'minervakTH',2022-02-27 05:47:57+00:00,b'#greengarden #natural #gardening #flower #redflowers #naturephotography #photography https://t.co/OAWnzqDDOK'
b'taiyachi',2022-02-27 05:47:43+00:00,b'#\xe3\x82\xb7\xe3\x83\xaa\xe3\x83\xbc\xe3\x82\xba\xe5\xba\xad\xe3\x80\x80\xe7\xaa\x81\xe7\x84\xb6\xe6\x98\xa5\xe3\x81\x8c\xe5\x86\xac\xe3\x82\x92\xe8\xbf\xbd\xe3\x81\x84\xe8\xb6\x8a\xe3\x81\x97\xe3\x81\xa6\xe3\x80\x81\xe3\x82\xaa\xe3\x83\xa9\xe3\x82\xaa\xe3\x83\xa9\xe3\x81\xa8\xe3\x82\x84\xe3\x81\xa3\xe3\x81\xa6\xe3\x81\x8d\xe3\x81\x9f\xe3\x80\x82\n\n#garden #flower #\xe5\xba\xad #\xe8\x8a\xb1  #\xe3\x82\xb7\xe3\x83\xaa\xe3\x83\xbc\xe3\x82\xba\xe5\xba\xad2022 https://t.co/qxgtYmTUBr'
b'backyard822',2022-02-27 06:28:46+00:00,b'\xe3\x81\xbe\xe3\x82\x93\xe3\x81\x95\xe3\x81\x8f\xe3\x81\xae\xe8\x8a\xb1\n#flower #\xe3\x83\x9e\xe3\x83\xb3\xe3\x82\xb5\xe3\x82\xaf\nhttps://t.co/oS3enP6E9z https://t.co/cd0AQ9DH2T https://t.co/ORfgAWBcGC https://t.co/hO9hU8DbZs https://t.co/328JvmP20a'
b'jcenerizio',2022-02-27 06:21:19+00:00,b'RT @pianolessonsM: #\xe8\x8a\xb1 #flower #flowers #gardening #nature #photo https://t.co/LsDjsVYeql'
b'backyard822',2022-02-27 06:20:38+00:00,b'\xe3\x82\xaf\xe3\x83\xad\xe3\x83\x83\xe3\x82\xab\xe3\x82\xb9\n#flower\nhttps://t.co/x4OrQWo5Lm https://t.co/NF6CatFUGX https://t.co/jLhtdvU6pf'
b'bot_botanical',2022-02-27 06:20:18+00:00,b'kaibob trail to phantom ranch\nPhoto by: https://t.co/HEm06jI3be\n#Cactus #flower https://t.co/KMO2ll4X0j'
